"","x"
"1","mexican"
"2","chinese"
"3","mexican"
"4","indian"
"5","mexican"
"6","thai"
"7","mexican"
"8","mexican"
"9","cajun_creole"
"10","mexican"
"11","mexican"
"12","mexican"
"13","southern_us"
"14","mexican"
"15","mexican"
"16","french"
"17","indian"
"18","indian"
"19","indian"
"20","thai"
"21","italian"
"22","mexican"
"23","mexican"
"24","italian"
"25","moroccan"
"26","japanese"
"27","italian"
"28","chinese"
"29","indian"
"30","mexican"
"31","italian"
"32","mexican"
"33","italian"
"34","indian"
"35","southern_us"
"36","southern_us"
"37","mexican"
"38","italian"
"39","mexican"
"40","mexican"
"41","filipino"
"42","chinese"
"43","vietnamese"
"44","korean"
"45","mexican"
"46","southern_us"
"47","mexican"
"48","mexican"
"49","italian"
"50","chinese"
"51","jamaican"
"52","thai"
"53","italian"
"54","mexican"
"55","greek"
"56","chinese"
"57","jamaican"
"58","moroccan"
"59","southern_us"
"60","mexican"
"61","greek"
"62","korean"
"63","indian"
"64","mexican"
"65","vietnamese"
"66","moroccan"
"67","southern_us"
"68","japanese"
"69","mexican"
"70","japanese"
"71","indian"
"72","italian"
"73","italian"
"74","italian"
"75","greek"
"76","southern_us"
"77","mexican"
"78","mexican"
"79","southern_us"
"80","vietnamese"
"81","cajun_creole"
"82","thai"
"83","korean"
"84","southern_us"
"85","jamaican"
"86","southern_us"
"87","italian"
"88","filipino"
"89","thai"
"90","mexican"
"91","italian"
"92","mexican"
"93","korean"
"94","southern_us"
"95","chinese"
"96","italian"
"97","mexican"
"98","italian"
"99","italian"
"100","japanese"
"101","thai"
"102","chinese"
"103","japanese"
"104","mexican"
"105","vietnamese"
"106","thai"
"107","southern_us"
"108","mexican"
"109","mexican"
"110","indian"
"111","korean"
"112","italian"
"113","indian"
"114","southern_us"
"115","southern_us"
"116","italian"
"117","vietnamese"
"118","italian"
"119","spanish"
"120","mexican"
"121","italian"
"122","cajun_creole"
"123","indian"
"124","italian"
"125","thai"
"126","irish"
"127","indian"
"128","thai"
"129","mexican"
"130","italian"
"131","indian"
"132","mexican"
"133","mexican"
"134","italian"
"135","italian"
"136","chinese"
"137","mexican"
"138","italian"
"139","indian"
"140","greek"
"141","mexican"
"142","mexican"
"143","jamaican"
"144","moroccan"
"145","filipino"
"146","mexican"
"147","chinese"
"148","mexican"
"149","japanese"
"150","southern_us"
"151","italian"
"152","italian"
"153","italian"
"154","indian"
"155","cajun_creole"
"156","mexican"
"157","spanish"
"158","british"
"159","indian"
"160","italian"
"161","italian"
"162","korean"
"163","chinese"
"164","southern_us"
"165","italian"
"166","korean"
"167","japanese"
"168","mexican"
"169","mexican"
"170","mexican"
"171","korean"
"172","mexican"
"173","japanese"
"174","chinese"
"175","southern_us"
"176","italian"
"177","italian"
"178","french"
"179","indian"
"180","mexican"
"181","indian"
"182","indian"
"183","mexican"
"184","southern_us"
"185","indian"
"186","thai"
"187","jamaican"
"188","spanish"
"189","mexican"
"190","italian"
"191","filipino"
"192","greek"
"193","chinese"
"194","southern_us"
"195","french"
"196","indian"
"197","mexican"
"198","mexican"
"199","mexican"
"200","vietnamese"
"201","italian"
"202","chinese"
"203","mexican"
"204","indian"
"205","thai"
"206","italian"
"207","italian"
"208","mexican"
"209","mexican"
"210","italian"
"211","italian"
"212","mexican"
"213","mexican"
"214","mexican"
"215","mexican"
"216","chinese"
"217","mexican"
"218","brazilian"
"219","italian"
"220","thai"
"221","italian"
"222","mexican"
"223","mexican"
"224","greek"
"225","mexican"
"226","italian"
"227","mexican"
"228","indian"
"229","mexican"
"230","mexican"
"231","indian"
"232","cajun_creole"
"233","moroccan"
"234","mexican"
"235","mexican"
"236","italian"
"237","chinese"
"238","italian"
"239","mexican"
"240","indian"
"241","mexican"
"242","mexican"
"243","italian"
"244","french"
"245","vietnamese"
"246","japanese"
"247","mexican"
"248","filipino"
"249","thai"
"250","mexican"
"251","southern_us"
"252","italian"
"253","mexican"
"254","thai"
"255","french"
"256","mexican"
"257","indian"
"258","chinese"
"259","greek"
"260","italian"
"261","chinese"
"262","thai"
"263","southern_us"
"264","italian"
"265","russian"
"266","cajun_creole"
"267","thai"
"268","indian"
"269","british"
"270","italian"
"271","greek"
"272","mexican"
"273","italian"
"274","italian"
"275","french"
"276","italian"
"277","moroccan"
"278","chinese"
"279","italian"
"280","indian"
"281","mexican"
"282","thai"
"283","japanese"
"284","cajun_creole"
"285","vietnamese"
"286","chinese"
"287","italian"
"288","mexican"
"289","italian"
"290","mexican"
"291","thai"
"292","cajun_creole"
"293","italian"
"294","italian"
"295","japanese"
"296","italian"
"297","japanese"
"298","italian"
"299","mexican"
"300","indian"
"301","chinese"
"302","japanese"
"303","filipino"
"304","italian"
"305","mexican"
"306","italian"
"307","southern_us"
"308","chinese"
"309","chinese"
"310","italian"
"311","southern_us"
"312","spanish"
"313","indian"
"314","southern_us"
"315","italian"
"316","southern_us"
"317","southern_us"
"318","italian"
"319","thai"
"320","mexican"
"321","italian"
"322","mexican"
"323","thai"
"324","indian"
"325","italian"
"326","thai"
"327","mexican"
"328","filipino"
"329","spanish"
"330","italian"
"331","chinese"
"332","british"
"333","moroccan"
"334","jamaican"
"335","italian"
"336","greek"
"337","mexican"
"338","japanese"
"339","mexican"
"340","italian"
"341","vietnamese"
"342","italian"
"343","filipino"
"344","southern_us"
"345","thai"
"346","southern_us"
"347","filipino"
"348","italian"
"349","mexican"
"350","southern_us"
"351","southern_us"
"352","thai"
"353","italian"
"354","mexican"
"355","italian"
"356","irish"
"357","greek"
"358","greek"
"359","mexican"
"360","cajun_creole"
"361","mexican"
"362","mexican"
"363","italian"
"364","cajun_creole"
"365","southern_us"
"366","mexican"
"367","mexican"
"368","thai"
"369","chinese"
"370","mexican"
"371","italian"
"372","japanese"
"373","mexican"
"374","mexican"
"375","brazilian"
"376","mexican"
"377","italian"
"378","mexican"
"379","mexican"
"380","spanish"
"381","mexican"
"382","korean"
"383","british"
"384","italian"
"385","indian"
"386","mexican"
"387","italian"
"388","italian"
"389","italian"
"390","cajun_creole"
"391","indian"
"392","chinese"
"393","thai"
"394","mexican"
"395","moroccan"
"396","thai"
"397","greek"
"398","japanese"
"399","southern_us"
"400","cajun_creole"
"401","french"
"402","mexican"
"403","moroccan"
"404","italian"
"405","indian"
"406","moroccan"
"407","italian"
"408","chinese"
"409","moroccan"
"410","chinese"
"411","moroccan"
"412","mexican"
"413","mexican"
"414","mexican"
"415","japanese"
"416","mexican"
"417","mexican"
"418","mexican"
"419","italian"
"420","mexican"
"421","chinese"
"422","chinese"
"423","chinese"
"424","indian"
"425","thai"
"426","mexican"
"427","mexican"
"428","korean"
"429","italian"
"430","cajun_creole"
"431","italian"
"432","italian"
"433","southern_us"
"434","thai"
"435","mexican"
"436","indian"
"437","indian"
"438","italian"
"439","filipino"
"440","mexican"
"441","italian"
"442","indian"
"443","cajun_creole"
"444","mexican"
"445","mexican"
